"Species_num","Species","Year2015","nsites","prevalence","mean_elev","min_elev","max_elev","mean_SDD","mean_gdd","mean_fdd","mean_moist","r_prev","s_prev","c_prev"
34,"Polygonum bistortoides",TRUE,23,0.413333333333333,1673.22580645161,1570,1791,141,598.727691179881,-0.877616182344969,44.5806451612903,0.333333333333333,0.444444444444444,0.357142857142857
35,"Potentilla flabellifoli",TRUE,16,0.293333333333333,1645.72727272727,1490,1791,144.863636363636,628.592966061923,0,51.4545454545455,0.185185185185185,0.148148148148148,0.464285714285714
36,"Rhododendron albiflorum",TRUE,3,0.0533333333333333,1490,1490,1490,128.75,540.570505483636,-2.2837944213385,64.5,0.0740740740740741,0.0740740740740741,0
37,"Ribes acerifolium",TRUE,3,0.04,1680,1680,1680,127.333333333333,458.762365661531,0,48.6666666666667,0.037037037037037,0.0740740740740741,0
38,"Rubus lasiococcus",TRUE,13,0.28,1577.61904761905,1490,1680,128.190476190476,504.226748918198,-2.04905151662529,56.4285714285714,0.518518518518518,0.259259259259259,0
39,"Salix barclayi",TRUE,0,0.04,1490,1490,1490,131.666666666667,559.770962909765,0,107,0,0,0.107142857142857
40,"Saxifraga tolmei",TRUE,2,0.0533333333333333,1846,1791,1901,165.5,658.036853682069,0,40.5,0,0.037037037037037,0.107142857142857
41,"Sorbus sitchensis",TRUE,1,0.226666666666667,1553.58823529412,1490,1791,132.294117647059,547.48864420434,-1.67469643399559,55.7058823529412,0.333333333333333,0.222222222222222,0.0714285714285714
42,"Spiraea splendens",TRUE,5,0.106666666666667,1500,1490,1570,130.625,547.999777806348,-1.14189721066925,77,0.0740740740740741,0.037037037037037,0.178571428571429
43,"Vaccinium deliciosum",TRUE,30,0.546666666666667,1652,1490,1901,140.146341463415,582.773770412585,-1.50597126156473,50.6341463414634,0.481481481481481,0.592592592592593,0.428571428571429
44,"Vaccinium membranaceum",TRUE,17,0.346666666666667,1570,1490,1680,128.846153846154,512.316576599877,-2.12603332611596,55.6153846153846,0.481481481481481,0.444444444444444,0.0357142857142857
45,"Valeriana sitchensis",TRUE,24,0.52,1626.33333333333,1490,1791,134.230769230769,548.30399172795,-2.02323733819087,49.5641025641026,0.666666666666667,0.592592592592593,0.178571428571429
46,"Veratrum viride",TRUE,5,0.4,1639.2,1490,1791,135,549.454015681729,-2.02119669395787,48.6333333333333,0.518518518518518,0.444444444444444,0.142857142857143
47,"Veronica cusickii",TRUE,16,0.28,1838.09523809524,1680,1901,153.571428571429,644.773912654646,0,38.0476190476191,0.296296296296296,0.37037037037037,0.107142857142857
48,"Xerophyllum tenax",TRUE,0,0.08,1503.33333333333,1490,1570,128.666666666667,541.62763136587,-3.04505922845133,67.8333333333333,0.111111111111111,0.111111111111111,0
